Title,Authors,Price,Stars,Number of Reviews,Published Date,Country,Currency
Signal Processing Driven Machine Learning Techniques for Cardiovascular Data Processing  ,[],336.0,,,2024-06-01,Australia,AU Dollars
Econometrics with Machine Learning: 53  ,[],267.0,,,2022-09-08,Australia,AU Dollars
The Machine Learning Simplified: A Gentle Introduction to Supervised Learning  ,[],8.0,,,2022-05-22,Australia,AU Dollars
Cambridge Bayesian Reasoning and Machine Learning Book - Hardback - 02 February 2012  ,[],98.0,,,2012-02-02,Australia,AU Dollars
Machine Learning: Architecture in the age of Artificial Intelligence  ,[],62.0,,,2022-04-30,Australia,AU Dollars
"Machine Learning for Beginners: A Comprehensive Guide to Mastering Algorithms, Data Science, and Artificial Intelligence  ",[],0.0,,,2023-07-05,Australia,AU Dollars
"Python for Data Visualization for Beginners: Visualize Your Data using Pandas, Matplotlib and Seaborn, Step-by-Step Guide with Hands-on Projects and Exercises ... Learning & Data Science for Beginners)  ",[],11.0,,,2020-02-12,Australia,AU Dollars
"Machine Learning Mastery: From A to Z with Code : ""A to Z Machine Learning with Code: From Fundamentals to Advanced Concepts – A Hands-On Guide for Building Intelligent Systems""  ",[],5.0,,,2023-10-16,Australia,AU Dollars
Machine Learning: The Art and Science of Algorithms that Make Sense of Data  ,[],69.0,,,2012-09-20,Australia,AU Dollars
Transformers for Machine Learning: A Deep Dive  ,[],80.0,,,2022-05-25,Australia,AU Dollars
"Machine Learning for Time-Series with Python: Forecast, predict, and detect anomalies with state-of-the-art machine learning methods  ",[],54.0,,,2021-11-09,Australia,AU Dollars
The Kaggle Book: Data analysis and machine learning for competitive data science  ,[],101.0,,,2022-04-22,Australia,AU Dollars
"Machine Learning For Beginners: A Comprehensive Beginners Guide To Machine Learning, No Experience Required!  ",[],0.0,,,2018-09-08,Australia,AU Dollars
"Scaling Machine Learning with Spark: Distributed ML with Mllib, Tensorflow, and Pytorch  ",[],126.0,,,2023-03-31,Australia,AU Dollars
Machine Learning in R for Everyone  ,[],0.0,,,2023-09-10,Australia,AU Dollars
Machine Learning with Python Cookbook: Practical Solutions from Preprocessing to Deep Learning  ,[],,,,2018-04-30,Australia,
Metalearning: Applications to Automated Machine Learning and Data Mining (Cognitive Technologies)  ,[],0.0,,,2022-02-22,Australia,AU Dollars
Machine Learning with PySpark: With Natural Language Processing and Recommender Systems  ,[],73.0,,,2018-12-15,Australia,AU Dollars
MACHINE LEARNING AND JAVA CODING MADE SIMPLE: A BEGINNER’S GUIDE TO PROGRAMMING - 2 BOOKS IN 1  ,[],0.0,,,2023-10-08,Australia,AU Dollars
